,Emotion,processed_message
357,anger,envy embarrass envious embarrass
358,fear,could frant nee nee mak could frantic need need make
359,surprise,overwhelm respons teach someon trust precy gift hon overwhelm responsibilities teacher someone trust precious gift honor
360,joy,tranquil right gre tranquil right great
361,anger,frust new mus new lyr clear noth frustrate new music new lyric clearly nothing
362,sadness,thought going talk try work thing shock find stev decid want thing brok unlov think go talk try work things shock find steve decide want thing break unloved
363,sadness,would bear wit incred wel spok bount mak emo kid complet unwelcom would bear witness incredibly well speak bouncer make emo kid completely unwelcome
364,sadness,tend stop breath stressed tend stop breathe stress
365,fear,smok year quit week ago right fin book believ fre knew quit terr lif without cigaret smoker years quit weeks ago right finish book believe free know quit terrify life without cigarettes
366,joy,go mailbox talk mailm grocery clerk etc mat smal step limit risk complet tot wil expery whatev thought sens emerg import go mailbox talk mailman grocery clerk etc matter small step limit risk complete total willingness experience whatever thoughts sensations emerge important
367,fear,already frant already frantic
368,joy,lik insec good thing first start writ pict insecurity good thing first start write picture
369,anger,comply insult compliment insult
370,sadness,crav fal submit submit least crave fall submission submissive least
371,love,tend fin tender fine
372,anger,irrit piss ev lik someon wak mom edg fal deep slumb irritate piss even someone wake moment edge fall deep slumber
373,sadness,mad work littl groggy make work little groggy
374,love,want lov lik sort hindr keep lov want love sort hindrance keep love
375,love,fond ok second thought real sensit spel everyth fond ok second think really sensitive spell everything
376,joy,il get round quart hop on ill get round quarter hopeful one
377,sadness,start unwelcom lif peopl already tel start unwelcome life people already tell
378,joy,absolv fantast hop baby absolutely fantastic hope baby
379,joy,watch snow fal accum con tre shovel shirt sleev vig watch snow fall accumulate conifer tree shovel shirt sleeves vigorous
380,anger,bit honkerblonk gen bitter honkerblonked general
381,joy,fath already convint father already convince
382,love,lov pass liv dream got tast lik noth stop love passionate live dream get taste nothing stop
383,joy,play rain squ gle mud squ toe enjoy pretty much anyth tak plac outdo play rain squeal glee mud squish toe enjoy pretty much anything take place outdoors
384,joy,hum put cold cal hold humorous put cold callers hold
385,sadness,busy stuff nev blog threads mak mis busy stuff never blog thread make miserable
386,surprise,energ cury lif god pot giv someth back socy find someon heart energize curious life god potential give something back society find someone heart
387,joy,privileg also lot work privilege also lot work
388,joy,pretty happy littl naus sid thrilled pretty happy little nauseate side thrill
389,sadness,clos ey hear pity wail sound cri tast sal tast tear ang hurt sat heart close eye hear pitiful wail sound cry taste salty taste tear anger hurt saturate heart
390,surprise,bought virt fat fre thousand island impress hold larg quant subst leav lettuc cucumb friend tot sug becom burn fat buy virtually fat free thousand islands impress hold large quantities substance leave lettuce cucumber friend total sugar become burn fat
391,anger,sur folk virgin florid hand swing stat agr put upon insult const bar sure folks virginia florida handful swing state agree put upon insult constant barrage
392,joy,lik put innoc man dea row put innocent man death row
393,joy,sur els help smart sure else help smart
394,love,begin every wak mom devot work begin every wake moment devote work
395,joy,thank lesson learn thankful lessons learn
396,love,long sad see famy childr long sadness see families children
397,love,distinct cal clermont foc littl on seem naughty distinctly call clermont focus little ones seem naughty
398,joy,hop glad gav many thing includ mem cher hope glad give many things include memories cherish
399,sadness,pretty worthless right pretty worthless right
400,joy,project clev us enough fig would start shar instruct wrot first on weekend project clever useful enough figure would start share instructables write first one weekend
401,sadness,continu think along lin prob would don dish ang got wed fight complet abus continue think along line probably would do dish anger get wed fight completely abuse
402,fear,espec nerv finland land par littl uns would ahead us thought st grad stud jan suomin especially nervous finland land paris little unsure would ahead us think st grade student janne suominen
403,anger,envy kid certain mom envious kid certain moments
404,sadness,lik pretty crappy mom pretty crappy mom
405,anger,piss aac kind mis frust lif whol week piss aac kind miserable frustrate life whole week
406,joy,scar anym fin ter surgery scar anymore fine terrific surgery
407,fear,stil vuln around still vulnerable around
408,surprise,honest sur stun honestly sure stun
409,love,car person attract car peopl lif care person attract care people life
410,sadness,left quit embarrass say noth new leave quite embarrass say nothings new
411,sadness,unwelcom plac but decid scar anyth ok situ stay dead end situ afraid thing get wors unwelcome place buti decide scar anything ok situation stay dead end situation afraid things get worse
412,joy,may may cri thank mak childr spec lov may may cry thank make children special love
